category,count,unit,source_id,comment
restaurants_query,4105,places,two_gis_restaurants,"2GIS count for restaurant search in SPb"
hotels_query,1281,places,two_gis_hotels,"2GIS count for hotels rubric in SPb"
all_organizations,286500,organizations,two_gis_food_rubrics,"Total organizations shown by 2GIS for Saint Petersburg"
sushi_bars,410,organizations,two_gis_food_rubrics,"Food subrubric"
fast_food,4544,organizations,two_gis_food_rubrics,"Food subrubric"
pizzerias,391,organizations,two_gis_food_rubrics,"Food subrubric"
food_malls,27,organizations,two_gis_food_rubrics,"Food subrubric"
canteens,881,organizations,two_gis_food_rubrics,"Food subrubric"
coffee_shops,1767,organizations,two_gis_food_rubrics,"Food subrubric"
coffee_points,1381,organizations,two_gis_food_rubrics,"Food subrubric"
ready_meals,762,organizations,two_gis_food_rubrics,"Food subrubric"
pastry_cafes,512,organizations,two_gis_food_rubrics,"Food subrubric"
catering,228,organizations,two_gis_food_rubrics,"Food subrubric"
tea_clubs,30,organizations,two_gis_food_rubrics,"Food subrubric"
shot_bars,83,organizations,two_gis_food_rubrics,"Food subrubric"
coffee_vending,4342,organizations,two_gis_food_rubrics,"Food subrubric"
soft_drinks_points,451,organizations,two_gis_food_rubrics,"Food subrubric"
