metric,year,segment,value,unit,source_id,comment
visitor_trips,2019,total,10.5,mln_trips,gov_spb_2025,"Допандемийный ориентир, указан в официальной новости"
visitor_trips,2024,total,11.6,mln_trips,gov_spb_2025,"Итог 2024, указан в официальной новости"
visitor_trips,2025,total,12.4,mln_trips,gov_spb_2025,"Итог 2025, указан в официальной новости"
tourism_economy_contribution,2021,total,233.9,bn_rub,tourbarometer_2024_pdf,"Туристско-экскурсионное потребление"
tourism_economy_contribution,2022,total,366.1,bn_rub,tourbarometer_2024_pdf,"Туристско-экскурсионное потребление"
tourism_economy_contribution,2023,total,482.7,bn_rub,tourbarometer_2024_pdf,"Туристско-экскурсионное потребление"
tourism_economy_contribution,2024,total,730.5,bn_rub,tourbarometer_2024_pdf,"Туристско-экскурсионное потребление"
tourism_economy_contribution,2025,total,843.1,bn_rub,gov_spb_2025,"Вклад туристов в экономику города"
tourism_consumption,2021,russian_tourists_and_excursionists,213.6,bn_rub,tourbarometer_2024_pdf,"Сегмент в структуре потребления"
tourism_consumption,2022,russian_tourists_and_excursionists,336.6,bn_rub,tourbarometer_2024_pdf,"Сегмент в структуре потребления"
tourism_consumption,2023,russian_tourists_and_excursionists,428.4,bn_rub,tourbarometer_2024_pdf,"Сегмент в структуре потребления"
tourism_consumption,2024,russian_tourists_and_excursionists,645.4,bn_rub,tourbarometer_2024_pdf,"Сегмент в структуре потребления"
tourism_consumption,2021,foreign_tourists,20.3,bn_rub,tourbarometer_2024_pdf,"Сегмент в структуре потребления"
tourism_consumption,2022,foreign_tourists,29.5,bn_rub,tourbarometer_2024_pdf,"Сегмент в структуре потребления"
tourism_consumption,2023,foreign_tourists,54.3,bn_rub,tourbarometer_2024_pdf,"Сегмент в структуре потребления"
tourism_consumption,2024,foreign_tourists,85.1,bn_rub,tourbarometer_2024_pdf,"Сегмент в структуре потребления"
spending_share,2024,souvenirs,4.0,percent,tourbarometer_2024_pdf,"Доля приобретения сувенирной продукции в структуре туристско-экскурсионного потребления"
spending_share,2024,urban_transport,4.6,percent,tourbarometer_2024_pdf,"Доля городского транспорта"
spending_share,2024,excursions,2.7,percent,tourbarometer_2024_pdf,"Доля экскурсионного обслуживания"
spending_share,2024,culture_visits,2.0,percent,tourbarometer_2024_pdf,"Доля посещения объектов культуры"
spending_share,2024,other_expenses,14.4,percent,tourbarometer_2024_pdf,"Доля прочих расходов"
