category,count,unit,source_id,comment
Суши-бары,410,organizations,two_gis_food_rubrics,
Быстрое питание,4544,organizations,two_gis_food_rubrics,
Пиццерии,391,organizations,two_gis_food_rubrics,
Фудмоллы,27,organizations,two_gis_food_rubrics,
Столовые,881,organizations,two_gis_food_rubrics,
Кофейни,1767,organizations,two_gis_food_rubrics,
Точки кофе,1381,organizations,two_gis_food_rubrics,
Готовые блюда,762,organizations,two_gis_food_rubrics,
Кафе-кондитерские,512,organizations,two_gis_food_rubrics,
Кейтеринг,228,organizations,two_gis_food_rubrics,
Чайные клубы,30,organizations,two_gis_food_rubrics,
Рюмочные,83,organizations,two_gis_food_rubrics,
Кофейные автоматы,4342,organizations,two_gis_food_rubrics,
Точки безалкогольных напитков,451,organizations,two_gis_food_rubrics,
